name,Website
Acres,https://www.acres.com
ATTOM,https://www.attomdata.com
Axxess,https://www.axxess.com
Becker's Healthcare,https://www.beckershospitalreview.com
Bureau of Economic Analysis,https://www.bea.gov
Bureau of Labor Statistics,https://www.bls.gov
Burning Glass Institute,https://www.burningglassinstitute.org
Canalys,https://canalys.com
Capitol Canary,https://www.capitolcanary.com
CareJourney,https://carejourney.com
CB Insights,https://www.cbinsights.com
Centers for Disease Control and Prevention,https://www.cdc.gov
Circana,https://www.circana.com
Citeline,https://www.citeline.com
Claritas,https://claritas.com
Clarivate,https://clarivate.com
CompStak,https://www.compstak.com
CoStar Group,https://www.costargroup.com
CoreLogic,https://www.corelogic.com
Counterpoint Research,https://www.counterpointresearch.com
CQ Roll Call,https://www.cq.com
Crunchbase,https://www.crunchbase.com
Data Axle,https://www.data-axle.com
Definitive Healthcare,https://www.definitivehc.com
Dun & Bradstreet,https://www.dnb.com
Earnest Analytics,https://earnestanalytics.com
Energy Exemplar,https://www.energyexemplar.com
Enigma Technologies,https://www.enigma.com
Esri,https://www.esri.com
Evaluate,https://www.evaluate.com
Experian,https://www.experian.com
FAIR Health,https://www.fairhealth.org
Federal Reserve Bank of St. Louis (FRED),https://fred.stlouisfed.org
Fiscal.ai,https://www.fiscal.ai
FiscalNote,https://fiscalnote.com
Fitch Solutions,https://www.fitchsolutions.com
Gartner,https://www.gartner.com
GlobalData,https://www.globaldata.com
GovWin,https://govwin.com
HealthVerity,https://healthverity.com
HG Insights,https://www.hginsights.com
HouseCanary,https://www.housecanary.com
IDC,https://www.idc.com
INRIX,https://inrix.com
Institute for Health Metrics and Evaluation,https://www.healthdata.org
IQVIA,https://www.iqvia.com
Land id,https://id.land
LightBox,https://www.lightboxre.com
Lightcast,https://lightcast.io
LSEG,https://www.lseg.com
Medtech Insight,https://medtechinsight.com
Milliman,https://www.milliman.com
MNI,https://www.mni.net
Moody's,https://www.moodys.com
Moody's Analytics,https://www.economy.com
MRI Software,https://www.mrisoftware.com
MSCI Real Assets,https://www.msci.com
National Student Clearinghouse,https://www.studentclearinghouse.org
Near,https://www.near.com
Newmark Research,https://www.nmrk.com
NielsenIQ,https://nielseniq.com
Ookla,https://www.ookla.com
Omdia,https://omdia.tech.informa.com
Opensignal,https://www.opensignal.com
Oxford Economics,https://www.oxfordeconomics.com
PitchBook,https://pitchbook.com
Placer.ai,https://www.placer.ai
Precisely,https://www.precisely.com
RealPage,https://www.realpage.com
Regrid,https://regrid.com
Reonomy,https://www.reonomy.com
SafeGraph,https://www.safegraph.com
S&P Global Commodity Insights,https://www.spglobal.com/commodityinsights
S&P Global Market Intelligence,https://www.spglobal.com/marketintelligence
Spectus,https://www.spectus.ai
Stackline,https://www.stackline.com
Steppingblocks,https://steppingblocks.com
StreetLight Data,https://www.streetlightdata.com
TechInsights,https://www.techinsights.com
TeleGeography,https://www.telegeography.com
Thomas,https://www.thomasnet.com
TomTom,https://www.tomtom.com
Trella Health,https://www.trellahealth.com
Trepp,https://www.trepp.com
TrendForce,https://www.trendforce.com
Truveta,https://www.truveta.com
U.S. Census Bureau,https://www.census.gov
Wood Mackenzie,https://www.woodmac.com
Yardi,https://www.yardi.com
Zillow,https://www.zillow.com
